labelId,timestamp,endTimestamp
investigation,27.600,41.967
investigation,42.933,42.967
investigation,51.100,53.867
investigation,55.100,55.633
investigation,58.067,59.533
investigation,59.833,60.833
investigation,61.267,63.433
investigation,66.067,67.167
investigation,69.100,70.933
investigation,71.667,73.800
investigation,75.367,76.400
investigation,78.200,78.400
investigation,79.700,81.900
investigation,88.967,90.833
investigation,98.500,99.033
investigation,100.500,102.733
investigation,104.267,110.067
investigation,111.433,113.367
investigation,117.967,118.300
investigation,118.700,120.167
investigation,137.900,140.167
investigation,148.967,152.100
investigation,152.967,153.133
mount,153.133,154.267
investigation,154.267,155.500
mount,155.500,156.133
investigation,156.133,156.567
investigation,157.267,160.000
mount,160.000,160.667
investigation,160.667,162.133
attack,162.133,164.100
investigation,167.367,167.633
investigation,168.800,169.400
attack,169.400,171.467
mount,171.467,172.000
investigation,172.000,172.433
investigation,172.667,173.667
mount,173.667,174.500
attack,174.500,177.400
investigation,177.400,178.633
investigation,179.800,180.567
attack,180.567,181.800
investigation,181.800,182.200
attack,182.200,182.800
investigation,182.800,184.233
investigation,185.267,186.800
attack,186.800,186.967
investigation,186.967,188.233
attack,188.233,188.600
investigation,188.600,189.067
investigation,194.367,194.667
attack,194.667,196.100
investigation,196.733,196.833
investigation,196.967,197.100
attack,197.100,197.333
investigation,197.533,197.933
investigation,198.233,200.900
attack,200.900,202.567
investigation,202.567,203.233
investigation,203.733,205.567
attack,205.567,206.033
investigation,207.000,209.567
attack,209.567,213.233
investigation,218.200,218.433
investigation,219.067,219.467
attack,219.467,220.567
investigation,220.567,220.967
attack,220.967,221.933
investigation,222.333,222.900
investigation,223.267,224.533
attack,224.533,226.300
investigation,226.300,227.633
attack,227.633,228.233
investigation,229.633,232.033
attack,232.033,233.300
investigation,233.600,237.933
investigation,238.167,238.433
attack,238.433,239.033
investigation,239.033,239.500
investigation,240.000,240.433
investigation,241.600,241.700
investigation,242.300,242.400
investigation,247.800,248.067
investigation,248.733,251.300
attack,251.300,252.833
attack,266.533,267.467
investigation,267.467,270.667
attack,270.667,272.167
attack,273.067,273.567
attack,274.133,274.600
investigation,282.733,284.933
attack,284.967,286.967
investigation,288.667,288.933
attack,288.933,289.133
attack,290.333,290.533
investigation,290.533,290.600
investigation,291.900,292.233
investigation,293.933,295.133
investigation,296.300,296.600
attack,296.600,297.033
investigation,302.667,303.167
investigation,309.333,309.467
investigation,311.767,312.033
investigation,339.867,342.167
attack,342.167,342.867
investigation,343.200,343.467
investigation,344.767,346.000
attack,346.000,346.233
investigation,360.300,362.167
investigation,370.967,371.100
investigation,374.900,378.333
investigation,379.933,380.700
investigation,398.867,399.167
investigation,399.567,399.800
attack,399.800,401.833
investigation,401.833,401.967
investigation,402.267,402.300
attack,402.300,403.567
investigation,403.567,404.367
attack,404.367,405.033
attack,405.167,405.300
investigation,405.300,405.667
attack,405.667,406.333
