labelId,timestamp,endTimestamp
mount,0.033,1.800
investigation,10.467,10.600
investigation,16.367,17.667
mount,17.667,22.500
investigation,23.467,23.967
investigation,28.833,29.733
mount,29.733,32.533
investigation,32.533,33.700
mount,33.700,36.033
investigation,47.600,48.467
mount,48.467,50.300
investigation,52.367,52.800
mount,52.800,54.267
investigation,54.267,55.167
investigation,59.200,59.900
mount,59.900,62.667
investigation,65.367,65.833
investigation,88.367,88.767
mount,88.767,91.867
investigation,91.867,92.267
mount,92.267,93.033
investigation,102.233,102.600
mount,102.600,104.533
investigation,109.600,111.400
