labelId,timestamp,endTimestamp
investigation,0.033,2.200
investigation,13.367,24.067
investigation,30.800,31.467
investigation,47.233,49.533
investigation,57.167,63.433
investigation,72.333,72.700
investigation,88.633,91.233
investigation,98.933,99.800
investigation,105.867,106.467
investigation,109.267,109.433
investigation,109.733,114.100
investigation,119.167,122.433
attack,122.433,132.733
investigation,132.833,133.667
attack,133.667,140.233
investigation,141.567,146.667
investigation,149.767,150.433
investigation,160.833,162.433
investigation,172.833,175.267
investigation,179.967,180.300
investigation,187.567,188.067
investigation,192.567,193.400
investigation,206.700,207.900
investigation,210.033,210.367
investigation,217.433,217.900
investigation,225.900,227.767
investigation,228.900,229.533
investigation,245.433,247.233
investigation,257.533,260.733
attack,260.733,267.267
investigation,271.967,274.933
investigation,283.900,285.467
investigation,307.533,307.900
investigation,309.500,312.567
investigation,313.933,315.567
attack,315.567,317.967
investigation,317.967,319.333
attack,319.333,320.800
investigation,320.800,321.267
attack,321.267,321.567
attack,321.900,322.667
attack,323.200,330.000
investigation,330.033,332.700
attack,332.700,334.167
