labelId,timestamp,endTimestamp
investigation,0.033,2.633
investigation,18.900,21.700
mount,21.700,24.667
investigation,24.667,28.900
investigation,30.367,33.933
investigation,43.700,44.767
investigation,48.200,49.433
investigation,54.367,55.500
investigation,77.633,78.400
investigation,97.700,100.200
investigation,112.500,112.867
investigation,121.500,121.767
investigation,127.667,127.933
investigation,133.400,134.033
investigation,135.867,136.233
mount,136.233,137.667
investigation,137.667,138.200
investigation,141.933,142.800
investigation,150.000,150.400
investigation,151.167,151.900
investigation,155.033,155.567
investigation,165.433,167.433
investigation,174.333,174.633
investigation,175.033,175.567
investigation,181.567,184.300
investigation,186.233,187.033
investigation,187.667,190.467
investigation,206.933,207.333
investigation,208.333,208.767
investigation,220.667,221.233
investigation,221.633,221.900
investigation,227.833,229.033
investigation,243.100,243.200
investigation,244.833,246.600
investigation,277.400,277.933
investigation,279.867,282.000
investigation,291.300,291.667
investigation,297.367,297.733
investigation,303.000,313.067
investigation,331.233,332.467
investigation,337.300,338.600
investigation,355.000,355.200
investigation,360.933,361.133
investigation,382.300,383.533
investigation,388.567,388.967
investigation,391.700,393.333
investigation,396.400,396.633
investigation,406.000,406.200
investigation,414.633,415.133
investigation,420.400,421.067
investigation,426.400,427.067
investigation,431.600,434.900
