labelId,timestamp,endTimestamp
investigation,4.367,4.800
investigation,6.633,9.767
attack,12.233,14.467
attack,15.033,22.800
investigation,27.667,28.433
investigation,32.633,34.233
attack,34.400,40.667
investigation,45.367,47.300
investigation,48.167,48.700
investigation,56.467,57.933
attack,58.700,66.667
investigation,68.733,70.067
attack,70.067,70.400
attack,71.200,78.933
investigation,78.933,85.600
investigation,91.767,94.033
attack,95.400,101.533
attack,103.567,104.167
investigation,107.167,107.933
attack,111.767,115.400
investigation,118.433,120.500
attack,120.500,122.700
attack,127.233,130.500
attack,132.733,134.867
attack,144.000,145.167
attack,149.067,150.900
investigation,161.833,162.133
investigation,170.067,172.533
attack,180.100,184.400
investigation,191.533,192.967
attack,193.233,197.700
investigation,202.333,203.733
attack,204.200,208.400
investigation,216.467,217.900
attack,217.900,218.500
attack,219.833,220.200
attack,220.967,221.633
attack,221.933,223.767
attack,231.333,232.767
attack,233.467,237.033
