labelId,timestamp,endTimestamp
investigation,0.033,3.067
investigation,3.633,23.733
investigation,25.233,27.533
investigation,32.367,32.867
mount,32.867,35.133
investigation,35.133,35.767
investigation,36.467,40.000
investigation,44.533,45.300
mount,45.300,49.400
investigation,50.533,55.000
investigation,56.533,57.300
investigation,61.933,63.200
investigation,63.433,64.667
investigation,84.267,88.200
investigation,97.067,102.767
mount,102.767,104.767
investigation,114.200,114.400
investigation,115.267,115.933
investigation,118.767,119.633
mount,119.633,121.533
investigation,125.367,125.667
investigation,131.700,132.600
investigation,135.100,136.667
investigation,137.467,137.667
investigation,148.267,148.667
mount,148.667,151.767
investigation,165.433,165.833
investigation,184.100,184.867
mount,184.867,186.667
