labelId,timestamp,endTimestamp
investigation,5.367,13.933
mount,13.933,18.667
investigation,19.467,19.933
investigation,25.200,27.000
investigation,29.767,30.400
mount,30.400,34.733
investigation,38.967,40.233
mount,40.233,43.600
investigation,44.733,45.933
mount,45.933,53.700
investigation,58.600,59.100
mount,59.100,68.400
investigation,88.400,88.800
investigation,95.167,96.300
mount,96.300,101.233
investigation,104.267,105.867
mount,105.867,108.467
investigation,115.367,118.467
investigation,118.733,120.967
investigation,121.300,121.867
investigation,147.233,148.933
investigation,161.867,162.700
