labelId,timestamp,endTimestamp
investigation,0.033,13.700
investigation,15.833,17.833
investigation,22.467,23.033
investigation,23.567,24.300
investigation,26.767,29.067
investigation,32.267,33.200
investigation,39.100,39.367
investigation,43.167,44.033
investigation,49.467,50.500
mount,50.500,53.067
investigation,53.067,57.900
mount,57.900,58.200
investigation,58.200,60.767
mount,60.767,61.367
investigation,61.367,65.233
mount,65.233,66.033
investigation,66.033,70.333
investigation,75.033,77.600
investigation,93.567,94.033
investigation,94.400,95.500
investigation,101.733,103.667
investigation,107.033,107.767
investigation,116.033,116.300
investigation,117.600,120.333
investigation,120.733,121.100
investigation,126.867,127.700
investigation,128.833,129.100
investigation,135.600,136.000
investigation,141.967,142.400
investigation,144.767,147.367
mount,147.367,149.067
investigation,149.067,152.333
mount,152.333,155.533
investigation,155.533,156.967
investigation,167.567,167.900
investigation,170.967,171.800
investigation,173.733,174.033
investigation,175.900,176.333
investigation,191.767,192.100
investigation,192.600,193.433
investigation,199.233,199.533
investigation,212.133,212.333
investigation,221.900,222.667
investigation,234.400,235.700
mount,235.700,240.367
investigation,246.567,247.567
investigation,252.100,257.767
