labelId,timestamp,endTimestamp
investigation,0.033,15.667
investigation,19.000,20.200
investigation,21.400,21.700
investigation,25.267,37.600
investigation,39.867,41.267
investigation,44.500,45.400
investigation,47.967,50.533
investigation,56.367,56.733
investigation,62.400,65.400
investigation,68.233,69.833
investigation,80.167,81.567
investigation,82.433,85.133
investigation,86.233,86.633
investigation,91.567,93.067
investigation,98.267,101.833
investigation,111.300,111.700
investigation,131.833,136.800
investigation,139.767,140.133
investigation,141.867,142.700
investigation,144.233,144.533
investigation,157.067,157.400
