labelId,timestamp,endTimestamp
investigation,2.100,2.633
attack,2.633,3.200
investigation,6.400,6.567
investigation,7.533,8.367
attack,8.367,11.567
attack,24.533,30.033
investigation,30.033,31.133
attack,31.133,34.433
investigation,34.900,35.933
investigation,36.233,38.233
attack,38.233,38.733
investigation,40.833,46.500
investigation,64.000,65.633
attack,65.633,65.967
investigation,66.267,69.067
attack,69.067,69.800
investigation,69.800,72.000
investigation,96.133,96.767
investigation,117.800,121.067
investigation,134.833,135.267
investigation,178.067,179.800
investigation,182.267,183.833
