labelId,timestamp,endTimestamp
investigation,0.200,6.700
investigation,15.300,25.100
investigation,52.733,54.767
investigation,58.333,58.600
investigation,59.167,63.000
investigation,76.833,80.733
investigation,83.167,83.467
investigation,84.333,84.667
mount,84.667,86.033
investigation,86.067,90.533
investigation,90.567,91.300
investigation,96.800,97.933
investigation,97.967,101.833
investigation,101.867,102.833
investigation,131.767,132.233
investigation,138.467,140.233
mount,140.233,143.200
investigation,143.200,144.267
investigation,148.667,149.067
mount,149.067,150.367
investigation,150.367,151.767
investigation,164.200,164.500
investigation,177.967,178.200
investigation,191.200,192.567
investigation,208.767,210.000
investigation,210.433,211.667
mount,211.667,213.700
investigation,213.700,214.000
investigation,215.067,216.400
mount,216.400,219.900
investigation,239.300,239.600
