labelId,timestamp,endTimestamp
investigation,2.500,20.400
investigation,21.267,27.300
investigation,28.500,29.967
mount,29.967,34.467
investigation,37.000,37.400
mount,37.400,47.800
investigation,49.767,50.267
investigation,56.433,56.967
mount,56.967,58.233
investigation,60.533,62.600
investigation,65.867,66.400
mount,66.400,68.267
investigation,72.933,74.000
mount,74.000,75.067
investigation,76.133,76.733
investigation,80.100,80.467
mount,80.467,83.833
investigation,83.833,85.033
investigation,94.633,98.300
mount,98.300,100.700
investigation,100.700,102.533
mount,102.533,103.567
investigation,103.567,104.533
