labelId,timestamp,endTimestamp
attack,0.033,3.933
investigation,4.767,6.567
investigation,12.933,13.633
attack,13.633,14.500
investigation,14.500,16.400
investigation,28.100,29.400
investigation,33.600,34.867
attack,34.867,42.167
investigation,42.167,44.400
attack,44.400,48.467
investigation,48.667,50.500
attack,50.500,51.467
investigation,51.467,55.500
attack,55.500,60.333
investigation,60.333,62.833
investigation,66.967,67.767
attack,67.767,71.033
investigation,74.000,74.467
investigation,81.367,83.367
attack,83.367,88.100
investigation,88.300,89.367
investigation,93.633,94.300
attack,94.300,100.967
