labelId,timestamp,endTimestamp
investigation,0.033,23.633
investigation,24.600,28.700
investigation,31.067,40.200
investigation,40.733,51.467
investigation,53.333,53.567
investigation,55.033,56.433
investigation,58.433,63.400
investigation,65.533,68.600
investigation,73.300,76.200
investigation,77.133,89.800
investigation,95.033,99.333
investigation,100.867,109.800
investigation,111.733,121.233
investigation,123.733,124.133
investigation,128.200,129.500
investigation,136.267,136.833
investigation,138.000,140.000
investigation,142.400,143.100
investigation,147.400,147.767
investigation,149.033,149.633
investigation,163.267,163.633
investigation,165.967,166.367
investigation,168.300,169.567
investigation,174.633,175.000
investigation,185.733,191.300
investigation,199.467,200.100
investigation,220.100,222.567
investigation,224.467,224.767
investigation,238.600,239.000
investigation,241.200,241.433
investigation,243.433,243.900
investigation,252.467,253.300
investigation,255.500,257.433
investigation,270.833,273.467
investigation,274.500,276.167
investigation,280.633,288.267
investigation,295.633,304.500
investigation,310.733,323.733
investigation,325.133,334.133
investigation,334.200,338.500
investigation,343.133,346.033
investigation,348.367,358.400
investigation,359.433,359.933
investigation,374.300,374.767
investigation,378.933,379.300
investigation,380.833,380.967
investigation,382.300,382.600
investigation,384.167,384.700
investigation,388.200,388.967
investigation,404.733,408.133
investigation,412.767,423.467
investigation,429.067,430.400
investigation,432.767,433.067
investigation,436.400,436.800
investigation,439.400,439.667
investigation,443.000,445.367
investigation,447.667,450.333
investigation,453.600,454.400
investigation,470.267,470.867
investigation,485.233,486.233
investigation,488.500,488.867
investigation,496.833,497.167
investigation,500.767,501.100
investigation,509.767,511.100
investigation,517.900,518.733
investigation,529.533,530.233
investigation,531.967,533.433
investigation,541.467,541.900
investigation,542.767,544.033
investigation,552.067,552.833
investigation,569.800,570.167
