labelId,timestamp,endTimestamp
investigation,0.033,1.933
investigation,2.767,6.467
investigation,7.900,8.500
mount,8.500,11.600
investigation,13.633,15.600
investigation,17.000,17.633
mount,17.633,23.267
investigation,23.867,24.267
investigation,25.700,26.333
mount,26.333,29.967
investigation,31.467,32.433
mount,32.433,35.000
investigation,35.167,36.000
investigation,38.800,39.500
investigation,43.500,44.533
mount,44.533,51.033
investigation,51.033,51.933
investigation,56.833,57.467
mount,57.467,65.867
investigation,65.867,66.767
investigation,78.367,79.167
mount,79.167,82.167
investigation,83.833,84.300
mount,84.300,89.633
investigation,89.633,90.500
investigation,93.733,94.200
mount,94.200,102.267
mount,103.833,105.733
mount,105.767,106.000
mount,107.367,113.933
mount,116.733,123.333
mount,125.600,125.667
