labelId,timestamp,endTimestamp
investigation,2.033,3.133
investigation,6.800,8.133
investigation,9.833,10.567
investigation,28.600,37.167
investigation,37.833,40.067
investigation,44.400,48.533
investigation,51.367,54.667
investigation,59.000,59.200
investigation,70.033,70.500
investigation,77.100,77.433
investigation,85.567,86.167
investigation,88.967,90.100
investigation,104.367,106.567
investigation,112.367,112.600
investigation,120.400,120.933
investigation,128.233,128.633
investigation,135.033,136.800
investigation,138.433,141.733
investigation,161.000,162.400
investigation,181.733,182.567
investigation,193.600,195.333
investigation,215.900,218.300
investigation,220.967,222.467
investigation,239.100,240.433
investigation,252.633,253.833
investigation,258.233,259.567
