labelId,timestamp,endTimestamp
investigation,0.033,0.133
investigation,1.533,20.767
investigation,21.833,24.100
investigation,25.700,30.733
investigation,33.767,55.400
investigation,57.900,62.200
investigation,63.700,67.100
investigation,69.267,69.600
investigation,72.200,72.700
investigation,76.600,77.000
investigation,81.800,84.500
investigation,90.167,90.400
investigation,96.667,103.300
investigation,104.300,104.600
investigation,111.200,111.533
investigation,116.167,116.867
investigation,117.733,119.533
investigation,124.200,124.867
investigation,132.033,135.133
investigation,141.367,142.600
investigation,152.400,152.967
investigation,160.367,161.900
investigation,163.000,172.567
investigation,173.467,174.233
investigation,176.100,179.467
investigation,181.067,181.433
investigation,185.767,186.233
investigation,197.933,203.700
investigation,206.733,211.967
investigation,215.067,215.400
investigation,216.433,221.433
investigation,222.433,223.400
investigation,227.567,228.733
