labelId,timestamp,endTimestamp
investigation,0.033,0.267
investigation,2.100,11.967
investigation,12.800,16.833
investigation,18.100,26.867
investigation,28.133,31.300
investigation,33.033,33.533
mount,33.533,35.867
investigation,35.867,36.967
mount,36.967,38.600
investigation,38.600,38.833
investigation,42.033,43.800
investigation,45.600,52.600
investigation,63.067,64.667
investigation,72.267,72.867
investigation,74.067,82.267
mount,82.267,89.700
investigation,94.733,95.200
investigation,99.667,100.133
mount,100.133,104.000
investigation,104.000,104.600
investigation,106.967,107.400
mount,107.400,109.300
investigation,116.600,116.900
mount,116.900,119.333
investigation,122.967,123.500
mount,123.500,125.667
investigation,130.933,131.400
mount,131.400,168.833
